bid_count_1,bid_weight_count_1,bid_val_0,bid_weight_val_2,bid_val_2,ask_count_2,ask_weight_count_1,bid_count_2,ask_val_2,ask_val_1,ask_val_0,bid_weight_val_1,bid_val_1,bid_count_0,datetime,ask_weight_val_2,ask_count_0,bid_weight_count_2,ask_weight_val_1,ask_weight_count_2,ask_count_1
0.282,3.691,0.056816,0.056748928920553394,0.056801,1.584,12.184999999999999,2.991,0.056866,0.056843,0.056822,0.05680266133839068,0.056815,0.2,2018-08-08 19:19:32.085874,0.05690037994201614,0.021,12.071,0.056881633647927775,54.153,0.15
2.991,3.541,0.056815,0.05674712575902843,0.056798,5.7,7.785,0.2,0.05685,0.056843,0.056822,0.05680165857102512,0.056801,0.282,2018-08-08 19:19:35.503336,0.05689407560398417,0.021,12.516,0.05685410481695568,56.624,0.15
0.217,4.17,0.056816,0.05675159496201519,0.056801,5.7,7.785,2.991,0.05685,0.056843,0.056822,0.05680420911270983,0.056815,0.744,2018-08-08 19:19:40.209808,0.05689455339303881,0.021,12.504999999999999,0.05685410481695568,59.961,0.15
0.217,3.393,0.056816,0.05675020221699697,0.056798,0.125,13.084999999999999,0.2,0.056843,0.056842,0.056841,0.056814274977895665,0.056815,2.908,2018-08-08 19:19:43.615417,0.0568890096569989,0.082,11.908,0.05684632044325564,61.924,6.848
0.217,1.608,0.056819,0.05679356270096462,0.056798,0.082,30.41,0.2,0.056841,0.05684,0.056839,0.05681486007462687,0.056818,1.123,2018-08-08 19:19:47.504045,0.0568627313876107,19.367,2.1770000000000005,0.056841252548503786,54.547,5.136
0.2,0.677,0.056799,0.056743989081885854,0.056789,5.992,24.71,0.018,0.056836,0.056834,0.056833,0.05679300886262924,0.056798,0.285,2018-08-08 19:19:50.917272,0.056862928790476046,0.082,2.015,0.05683816458923512,63.586999999999996,0.535
0.05,1.023,0.056789,0.056683295493025886,0.056775,0.412,34.184999999999995,0.124,0.056831,0.05683,0.056798,0.05673487292277615,0.056785,0.018,2018-08-08 19:19:54.528334,0.05685330280214352,0.227,12.403,0.0568318580078982,66.806,9.834
2.991,3.3339999999999996,0.05681,0.056784145153433996,0.056797,9.834,28.247,0.217,0.05683,0.056829,0.056828,0.056797900119976014,0.056798,0.058,2018-08-08 19:19:58.600696,0.05685416820556632,17.876,4.106,0.056828987538499666,60.86600000000001,0.082
2.991,3.2409999999999997,0.05681,0.056729829816588216,0.056789,0.082,10.099,0.018,0.056829,0.056828,0.056827,0.056797084233261345,0.056798,0.058,2018-08-08 19:20:02.186967,0.05686389330753798,0.963,12.322,0.05684051549658382,27.912,3.229
2.29,2.699,0.056801,0.05672668947368421,0.056789,9.63,34.81,0.018,0.056827,0.056825,0.056824,0.05679688366061504,0.056798,0.217,2018-08-08 19:20:06.009168,0.05685353380323895,0.082,11.78,0.05683170864694054,76.753,14.873
2.29,2.4829999999999997,0.056801,0.056707319557991194,0.056789,13.482,24.525,0.018,0.056825,0.056823,0.056822,0.056796525573902544,0.056798,0.001,2018-08-08 19:20:09.436672,0.056854372976767764,0.082,11.131,0.05683047327217126,76.919,5.136
0.018,2.4,0.056798,0.05670296612903226,0.056785,4.458,12.332,0.05,0.056821,0.056816,0.056814,0.05679265458333334,0.056789,2.067,2018-08-08 19:20:13.513936,0.0568507860568688,6.527,12.4,0.05681706252027246,64.21799999999999,1.14
0.05,0.353,0.056789,0.05667989206003578,0.056775,0.082,19.722,0.124,0.056822,0.056816,0.056814,0.05675735127478754,0.056785,0.018,2018-08-08 19:20:17.056234,0.056843008704100244,13.917,12.859,0.05681862747185883,50.436,1.14
0.05,0.245,0.056789,0.056677670098375654,0.056775,6.527,9.636,0.124,0.056798,0.056797,0.056796,0.05676563673469388,0.056785,0.017,2018-08-08 19:20:20.515325,0.0568250968897807,0.329,13.113000000000001,0.056803328144458286,20.931,0.2
0.02,17.005000000000003,0.056724,0.05665577844669525,0.056713,0.23,21.391000000000002,0.141,0.056794,0.056793,0.056792,0.05669925127903557,0.056722,7.811,2018-08-08 19:20:23.957443,0.056811820340070575,0.082,101.98899999999999,0.05679541250993408,31.17,7.32
0.02,7.366,0.056724,0.05665278806317158,0.056713,0.33,21.704,0.141,0.05679,0.056789,0.056788,0.05672286627749118,0.056722,6.955,2018-08-08 19:20:28.050935,0.05681040145241115,0.082,95.48599999999999,0.05679255515112422,40.209,15.918
0.02,1.6280000000000001,0.056723,0.0566481319026608,0.056713,0.06,14.83,0.141,0.056749,0.056748,0.056747,0.056713178132678135,0.056722,1.217,2018-08-08 19:20:31.732519,0.05678402185767621,8.333,89.74799999999999,0.056761646122724205,44.195,0.23
0.02,0.427,0.056723,0.056647282094812165,0.056713,0.06,16.083000000000002,0.141,0.056745,0.056744,0.056743,0.056687566744730675,0.056722,0.036,2018-08-08 19:20:35.201215,0.056773705936408736,15.493,85.41099999999999,0.05674312746378163,38.087,0.23
0.02,0.44699999999999995,0.056723,0.05664712318357855,0.056713,4.4,25.32,0.141,0.05674,0.056739,0.056738,0.056685170022371376,0.056722,0.036,2018-08-08 19:20:38.702971,0.056755403042968396,7.391,88.567,0.056740164336492885,33.257,5.396
